,head,head_replaced,head_translated
6194,musical sheets,musical sheets,乐谱
6195,slow down,slow down,减速
6196,windows,windows,窗
6197,coffee pot,coffee pot,咖啡壶
6198,bluebird,bluebird,蓝鸲
6199,matterhorn,matterhorn,马特宏峰
6200,sprinkler,sprinkler,喷水灭火装置
6201,prayerful person,prayerful person,虔诚的人
6202,library card,library card,图书证
6203,erection,erection,勃起
6204,kiln,kiln,窑
6205,lazy dog,lazy dog,懒狗
6206,unclean pants,unclean pants,不洁的裤子
6207,cook food,cook food,烹调食物
6208,sewing machine,sewing machine,缝纫机
6209,writing instruments,writing instruments,书写工具
6210,supervisor,supervisor,监督者
6211,booze,booze,酒
6212,golddigger,golddigger,淘金者
6213,melt,melt,融化
6214,water bottles,water bottles,水壶
6215,two year old child,two year old child,两岁儿童
6216,tim,tim,蒂姆
6217,diversion,diversion,转移
6218,tool chest,tool chest,工具箱
6219,cook dinner,cook dinner,做饭
6220,ignition switch,ignition switch,点火开关
6221,grounded beans,grounded beans,磨碎的豆子
6222,dining reservation,dining reservation,餐饮预订
6223,unibomber,unibomber,轰炸机
6224,mouthpiece,mouthpiece,喉舌
6225,bowl of ice cream,bowl of ice cream,一碗冰淇淋
6226,landscapes,landscapes,风景
6227,lake vostok,lake vostok,沃斯托克湖
6228,chutney,chutney,酸辣酱
6229,brocolli,brocolli,布罗科利
6230,empty seat,empty seat,空座位
6231,doctor office,doctor office,医生办公室
6232,baloon,baloon,巴林
6233,air duster,air duster,空气除尘器
6234,skipping rope,skipping rope,跳绳
6235,recycle container,recycle container,回收容器
6236,waiting room,waiting room,候诊室
6237,3d printer,3d printer,3d打印机
6238,themometer,themometer,温度计
6239,circle,circle,圆
6240,meter,meter,米
6241,barn owl,barn owl,仓鸮
6242,gel/wax,gel/wax,凝胶／蜡
6243,oven dish,oven dish,烤箱盘
6244,cotton candy,cotton candy,棉花糖
6245,bunch of seating,bunch of seating,一堆座位
6246,cardio session,cardio session,有氧运动
6247,reception,reception,接待
6248,magic book,magic book,魔法书
6249,pet dog,pet dog,宠物狗
6250,authority figure,authority figure,权威人物
6251,check in desk,check in desk,登记台
6252,love note,love note,爱情笔记
6253,stage makeup,stage makeup,舞台化妆
6254,end table,end table,茶几
6255,masking tape,masking tape,遮蔽胶带
6256,student book,student book,学生手册
6257,banking details,banking details,银行业务详情
6258,fiction books,fiction books,小说类书籍
6259,attire,attire,服装
6260,opportunity,opportunity,机会
6261,hotdog stand,hotdog stand,热狗摊
6262,harry,harry,哈利
6263,elongated object,elongated object,细长物体
6264,call 911,call 911,打911
6265,wooden mallet,wooden mallet,木槌
6266,auto mechanic,auto mechanic,汽车修理工
6267,browser,browser,浏览器
6268,car battery,car battery,汽车电池
6269,beggers,beggers,乞丐
6270,floatie,floatie,弗洛阿蒂
6271,interest rates,interest rates,利率
6272,meeting place,meeting place,会面地点
6273,number paper,number paper,号码纸
6274,grades,grades,职系
6275,power point presentation,power point presentation,power point演示文稿
6276,box of kleenex,box of kleenex,一盒面巾纸
6277,body bag,body bag,运尸袋
6278,hairspray,hairspray,定型剂
6279,veterinary hospital,veterinary hospital,兽医医院
6280,leathers,leathers,皮
6281,box of tissues,box of tissues,一盒纸巾
6282,forget,forget,忘记
6283,draws and cabinets,draws and cabinets,抽屉和橱柜
6284,mechandise,mechandise,机械化
6285,cogitate,cogitate,仔细考虑
6286,bottle,bottle,瓶
6287,photo copier,photo copier,影印机
6288,feel pain,feel pain,感到疼痛
6289,contractor,contractor,承包人
6290,diving suit,diving suit,潜水服
6291,employee of company,employee of company,公司员工
6292,lottery ticket,lottery ticket,彩票
6293,credit report,credit report,信用报告
6294,cargo ship,cargo ship,货船
6295,fee cat,fee cat,收费猫
6296,wifi,wifi,WIFI
6297,landline,landline,陆线
6298,dig up burried treasure,dig up burried treasure,挖掘埋藏的宝藏
6299,timeslot,timeslot,分时租赁
6300,papertowels,papertowels,纸巾
6301,health food store,health food store,健康食品店
6302,estimaters,estimaters,估价人
6303,lean meat,lean meat,瘦肉
6304,grinder,grinder,磨床
6305,shears,shears,大剪刀
6306,conceit,conceit,自负
6307,thong,thong,皮带
6308,slave,slave,奴隶
6309,address change forms,address change forms,地址更改表格
6310,private booth,private booth,私人摊位
6311,ash,ash,灰
6312,trash truck,trash truck,垃圾车
6313,vole,vole,田鼠
6314,carburators,carburators,渗碳器
6315,dress shoes,dress shoes,正装皮鞋
6316,stage,stage,阶段
6317,soda pop,soda pop,汽水
6318,attachments,attachments,附件
6319,babe,babe,婴儿
6320,dressing gown,dressing gown,晨衣
6321,check stubs,check stubs,检查存根
6322,cookware,cookware,炊具
6323,packet of dy,packet of dy,一包dy
6324,teddybear,teddybear,泰迪熊
6325,fall off horse,fall off horse,从马上摔下来
6326,law enforcement officer,law enforcement officer,执法人员
6327,knee brace,knee brace,护膝
6328,silage,silage,青贮饲料
6329,translation book,translation book,翻译书
6330,fitness clothing,fitness clothing,健身服
6331,aderall,aderall,阿德拉尔
6332,hair accessory,hair accessory,发饰
6333,drought,drought,久旱
6334,puppeteer,puppeteer,操纵木偶的人
6335,speeches,speeches,演辞
6336,cotton candy booth,cotton candy booth,棉花糖摊位
6337,trunks,trunks,树干
6338,roulette,roulette,轮盘赌
6339,moth ball,moth ball,飞蛾球
6340,creel,creel,鱼篓
6341,pumpkin butter,pumpkin butter,南瓜黄油
6342,new alarm,new alarm,新警报器
6343,elf,elf,小精灵
6344,failure,failure,失败
6345,desisel engine,desisel engine,desisel发动机
6346,pajamas,pajamas,睡衣
6347,mascot costume,mascot costume,吉祥物服装
6348,room service,room service,客房服务
6349,necklace,necklace,项链
6350,food tray,food tray,食物托盘
6351,mote,mote,微粒
6352,wings,wings,翅膀
6353,potholder,potholder,洞穴探险者
6354,rabid weasel,rabid weasel,狂暴的黄鼠狼
6355,soccer shoes,soccer shoes,足球鞋
6356,pool ball,pool ball,台球
6357,party dress,party dress,派对礼服
6358,background check,background check,背景调查
6359,diaper,diaper,尿布
6360,hand coverings,hand coverings,手工覆盖物
6361,swamp,swamp,沼泽
6362,passenger,passenger,乘客
6363,flannel top,flannel top,法兰绒上衣
6364,karate uniform,karate uniform,空手道制服
6365,plastic card,plastic card,塑料卡
6366,water vapour,water vapour,水蒸气
6367,invitation card,invitation card,邀请卡
6368,big boy,big boy,大男孩
6369,emergency room,emergency room,急诊室
6370,run factory,run factory,经营工厂
6371,reverence,reverence,尊敬
6372,ring box,ring box,戒指盒
6373,soilders,soilders,播种机
6374,israeli,israeli,以色列的
6375,bank funds,bank funds,银行资金
6376,attachment,attachment,附件
6377,boxcar,boxcar,货车车厢
6378,tin of wax,tin of wax,蜡罐
6379,rich investor,rich investor,富有的投资者
6380,jalapenos,jalapenos,墨西哥胡椒
6381,prison,prison,监狱
6382,stirrup pump,stirrup pump,箍筋泵
6383,lecture,lecture,演讲
6384,kneepad,kneepad,护膝
6385,basketball,basketball,篮球
6386,tape masure,tape masure,胶带纸
6387,betting sheet,betting sheet,投注单
6388,antique,antique,古老的
6389,campfire,campfire,营火
6390,benefit,benefit,利益
6391,description,description,描述
6392,mobile device/telephone,mobile device/telephone,移动设备／电话
6393,all,all,所有
6394,receit,receit,receit
6395,echo,echo,回声
6396,have horrible boyfriend,have horrible boyfriend,有可怕的男朋友
6397,soft measuring tape,soft measuring tape,软测量带
6398,live life of hobo,live life of hobo,过流浪汉的生活
6399,hyakugojuuichi,hyakugojuuichi,hyakugojuuichi
6400,take test,take test,参加测试
6401,footwear,footwear,鞋类
6402,head set,head set,耳机
6403,suspense,suspense,悬念
6404,microwave,microwave,微波
6405,oilcan,oilcan,油壶
6406,early riser,early riser,早起者
6407,satchel,satchel,书包
6408,checkin desk,checkin desk,登记台
6409,school bag,school bag,书包
6410,professional atheletes,professional atheletes,职业运动员
6411,truck bed,truck bed,卡车床
6412,bread,bread,面包
6413,get hurt,get hurt,受伤
6414,cover box,cover box,盖盒
6415,graduation cup,graduation cup,毕业杯
6416,hydrolics,hydrolics,水文学
6417,bass drum,bass drum,低音鼓
6418,long handled broom,long handled broom,长柄扫帚
6419,play tennis,play tennis,打网球
6420,salary,salary,工资
6421,high school graduate,high school graduate,高中毕业生
6422,kerosene lighter,kerosene lighter,煤油打火机
6423,kindle,kindle,点燃
6424,dill,dill,莳萝
6425,empty counter,empty counter,空柜台
6426,pain prescription,pain prescription,止痛处方
6427,launch platform,launch platform,发射平台
6428,high jumper,high jumper,跳高运动员
6429,sunblock,sunblock,防晒霜
6430,hoop,hoop,箍
6431,chair and desk,chair and desk,椅子和书桌
6432,new shoes,new shoes,新鞋
6433,shredder,shredder,碎纸机
6434,equipments,equipments,设备
6435,aggressive person,aggressive person,好斗的人
6436,note pad and pens,note pad and pens,记事本和钢笔
6437,brake,brake,刹车
6438,school gym,school gym,学校体育馆
6439,fix a flat,fix a flat,修理公寓
6440,articles,articles,文章
6441,shades,shades,色调
6442,careless john,careless john,粗心的约翰
6443,humus,humus,腐殖质
6444,discount paper,discount paper,折扣纸
6445,piece of paper with the address,piece of paper with the address,一张写有地址的纸
6446,fitness watch,fitness watch,健身手表
6447,fleet,fleet,舰队
6448,vomit bag,vomit bag,呕吐袋
6449,humidifier,humidifier,增湿器
6450,funds,funds,基金
6451,karaoke,karaoke,卡拉OK
6452,lack of money,lack of money,缺钱
6453,overachiever,overachiever,优等生
6454,sheet metal,sheet metal,金属薄板
6455,party guest,party guest,派对客人
6456,back courtyard,back courtyard,后院
6457,paste,paste,粘贴
6458,receipe book,receipe book,收据簿
6459,music player,music player,音乐播放器
6460,knife spreader,knife spreader,刮刀器
6461,fake passport,fake passport,假护照
6462,vcr,vcr,录像机
6463,buckets,buckets,桶
6464,sporting gear,sporting gear,运动器材
6465,rehearsal,rehearsal,排练
6466,feel sick,feel sick,想吐
6467,sutures,sutures,缝合
6468,ice cooler,ice cooler,冰柜
6469,quiet office,quiet office,安静的办公室
6470,ballot,ballot,选票
6471,voodoo dolll,voodoo dolll,巫毒娃娃
6472,motor oil,motor oil,马达油
6473,vineyard,vineyard,葡萄园
6474,vet,vet,兽医
6475,fish and vegetables,fish and vegetables,鱼和蔬菜
6476,go off strike,go off strike,罢工
6477,national guard,national guard,国民警卫队
6478,black bag,black bag,黑包
6479,exhaust fan,exhaust fan,排气扇
6480,prompt,prompt,提示符
6481,prevention,prevention,预防
6482,donut holes,donut holes,甜甜圈洞
6483,acadia national park,acadia national park,阿卡迪亚国家公园
6484,school graduate,school graduate,学校毕业生
6485,insensitive person,insensitive person,不敏感的人
6486,medical card,medical card,医疗卡
6487,eric welsh,eric welsh,埃里克·威尔士
6488,protoype,protoype,protoype
6489,planet earth,planet earth,行星地球
6490,metal rod,metal rod,金属棒
6491,rearview mirror,rearview mirror,后视镜
6492,diaphragm,diaphragm,隔膜
6493,dome,dome,圆屋顶
6494,electric socket,electric socket,电插座
6495,bring in verdict,bring in verdict,作出裁决
6496,computer/tv,computer/tv,电脑／电视
6497,escalator,escalator,自动扶梯
6498,alexa,alexa,亚历克莎
6499,clip on,clip on,夹上
6500,mode of transport,mode of transport,运输方式
6501,raking tool,raking tool,耙工具
6502,insurance papers,insurance papers,保险文件
6503,liberal propaganda,liberal propaganda,自由宣传
6504,harbor pilot,harbor pilot,港口引航员
6505,daughter,daughter,女儿
6506,luggage cart,luggage cart,行李车
6507,traffic light,traffic light,红绿灯
6508,pain medicine,pain medicine,止痛药
6509,book mark,book mark,书签
6510,hay,hay,干草
6511,puppet,puppet,木偶
6512,clean linens,clean linens,干净的亚麻布
6513,head of john baptist,head of john baptist,约翰浸信会会长
6514,social app,social app,社交应用
6515,deli meat,deli meat,熟食肉
6516,insomniac,insomniac,失眠症患者
6517,safety cone,safety cone,安全锥
6518,mechanical pencil,mechanical pencil,自动铅笔
6519,kising,kising,基辛
6520,picnic,picnic,野餐
6521,gauges,gauges,量规
6522,party favors,party favors,小礼品
6523,bus/car,bus/car,巴士／汽车
6524,distillery,distillery,酿酒厂
6525,pretend,pretend,假装
6526,dear abby,dear abby,亲爱的艾比
6527,somw poeple,somw poeple,一些人
6528,mess hall,mess hall,食堂
6529,period,period,时期
6530,print,print,打印
6531,joe,joe,乔
6532,sharpshooter,sharpshooter,神枪手
6533,bath house,bath house,巴斯音乐厅
6534,belgium endive,belgium endive,比利时菊苣
6535,get up early,get up early,早起
6536,krystal,krystal,克里斯托
6537,bride,bride,新娘
6538,issues,issues,问题
6539,rafter,rafter,椽
6540,some cushions,some cushions,一些垫子
6541,clever person,clever person,聪明人
6542,cheese worm,cheese worm,干酪虫
6543,fashion,fashion,时尚
6544,dude,dude,伙计
6545,cabin,cabin,小舱
6546,heartbeat,heartbeat,心跳
6547,adolescent boy,adolescent boy,青春期男孩
6548,thorax,thorax,胸
6549,job ad,job ad,招聘广告
6550,open space,open space,休憩用地
6551,blue ribbon,blue ribbon,蓝丝带
6552,rosemary,rosemary,迷迭香
6553,headboard in or rather,headboard in or rather,床头板
6554,sliced meats,sliced meats,肉片
6555,travel,travel,旅行
6556,java,java,爪哇
6557,cabinet,cabinet,内阁
6558,sails,sails,帆
6559,small plate,small plate,小盘
6560,garden shears,garden shears,园艺剪
6561,corner grocery,corner grocery,街角杂货店
6562,spiderwebs,spiderwebs,蜘蛛网
6563,politician,politician,政治家
6564,contracts,contracts,合同
6565,scanner,scanner,扫描仪
6566,tooth,tooth,牙
6567,olive oil,olive oil,橄榄油
6568,buns,buns,圆面包
6569,party goer,party goer,参加聚会的人
6570,carry on,carry on,进行
6571,outfielder,outfielder,外野手
6572,snore,snore,打鼾
6573,kitchen equipment,kitchen equipment,厨房设备
6574,ball machine,ball machine,滚珠机
6575,scene,scene,场景
6576,valium,valium,安定
6577,ziplock bags,ziplock bags,拉链包
6578,sodas,sodas,苏打
6579,room to sleep in,room to sleep in,睡觉的房间
6580,place ticket,place ticket,地点票
6581,david,david,大卫
6582,luggage,luggage,行李
6583,stockboys,stockboys,托克男孩
6584,cookies and milk,cookies and milk,饼干和牛奶
6585,pizza delivery guy,pizza delivery guy,送披萨的
6586,cat feces,cat feces,猫的粪便
6587,center,center,中心
6588,trash grabber,trash grabber,垃圾收集工
6589,banquet table,banquet table,宴会桌
6590,enevelope,enevelope,埃内韦洛普
6591,comforter,comforter,被子
6592,octopus on ice,octopus on ice,冰上章鱼
6593,emergency,emergency,紧急情况
6594,alternator,alternator,交流发电机
6595,businesses,businesses,企业
